listener,listener_trial,mturk_worker,mturk_trial,level_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity,difficulty_matched_subset,distance_matched_subset,excitation_matched_subset,proportion_judged_louder
9,140,179,47,3,fax,printer,printing,0,2,0,0,0,0.8
9,141,125,22,3,opening a soda bottle,nan,windows startup sound,0,low-intensity,0,0,1,0
9,141,219,2,3,opening a soda bottle,nan,harmonica,0,low-intensity,0,0,1,0
9,142,125,11,7,running on a hard surface,horses-moving-but-not-galloping,pinball,0,2,0,0,0,0.4
9,142,171,24,7,running on a hard surface,horses-moving-but-not-galloping,horse galloping,0,2,0,0,0,0.4
9,143,132,22,2,busy signal,an-alarm.--Sounds-like-the-beginning-of-"Novocaine-for-the-Soul.",orchestra tuning,0.5,2,0,0,0,0.6
9,143,168,19,2,busy signal,an-alarm.--Sounds-like-the-beginning-of-"Novocaine-for-the-Soul.",busy signal,0.5,2,0,0,0,0.6
9,144,64,23,5,crowd laughing,sitcom-laugh-track,crowd laughing,1,high-intensity,0,0,1,0.2
9,144,175,23,5,crowd laughing,sitcom-laugh-track,crowd laughing,1,high-intensity,0,0,1,0.2
9,145,61,32,1,sword fighting,person-going-through-safety-pins-and-paper-clips,screwing in a nail,0.5,3,0,0,0,0
9,145,224,40,1,sword fighting,person-going-through-safety-pins-and-paper-clips,sword fighting,0.5,3,0,0,0,0
9,146,101,9,7,cuckoo clock,cuckoo-clock,cuckoo clock,1,3,0,1,0,0.6
9,146,149,42,7,cuckoo clock,cuckoo-clock,cuckoo clock,1,3,0,1,0,0.6
9,147,46,32,1,wing flapping,nan,radar beeps,0,low-intensity,0,0,1,0
9,147,75,17,1,wing flapping,nan,shuffling,0,low-intensity,0,0,1,0
9,148,134,39,2,harp,harp-playing,harp,1,2,0,0,0,0.4
9,148,178,11,2,harp,harp-playing,harp,1,2,0,0,0,0.4
9,149,108,47,3,can opening,someone-opening-a-can,can opening,1,low-intensity,1,0,0,0.6
9,149,178,46,3,can opening,someone-opening-a-can,can opening,1,low-intensity,1,0,0,0.6
9,150,50,36,1,chopping food,nan,chopping food,0.5,low-intensity,0,0,1,0
9,150,106,39,1,chopping food,nan,drinking,0.5,low-intensity,0,0,1,0
9,151,87,30,5,plane taking off,jets-overhead,plane taking off,1,high-intensity,0,0,0,0.6
9,151,185,10,5,plane taking off,jets-overhead,plane taking off,1,high-intensity,0,0,0,0.6
9,152,75,12,6,biting and chewing,someone-eating-something-crunchy,biting and chewing,1,2,0,0,0,0.8
9,152,190,42,6,biting and chewing,someone-eating-something-crunchy,biting and chewing,1,2,0,0,0,0.8
9,153,57,6,2,swimming,water-sound.--someone-running-their-hands-through-it--maybe.,swimming,1,2,0,1,0,0.4
9,153,192,38,2,swimming,water-sound.--someone-running-their-hands-through-it--maybe.,swimming,1,2,0,1,0,0.4
9,154,76,7,4,hammering metal,someone-hammering-a-large-nail,hammering metal,1,high-intensity,0,0,1,0.2
9,154,208,49,4,hammering metal,someone-hammering-a-large-nail,hammering metal,1,high-intensity,0,0,1,0.2
9,155,98,39,3,man speaking,a-man-speaking-English,man speaking,1,2,0,0,0,0.6
9,155,191,19,3,man speaking,a-man-speaking-English,man speaking,1,2,0,0,0,0.6
9,156,105,45,7,wind,wind-tunnel,wind,1,2,0,1,0,0.6
9,156,202,10,7,wind,wind-tunnel,wind,1,2,0,1,0,0.6
9,157,113,35,7,walking on a hard surface,galloping-noises,walking on a hard surface,1,2,0,0,0,0.6
9,157,176,38,7,walking on a hard surface,galloping-noises,walking on a hard surface,1,2,0,0,0,0.6
9,158,93,43,2,cash register,faint-sounds-of-cash-register,cash register,1,2,0,0,0,0.6
